Date Time,Wind Speed (m/s),Wind Direction (Degree),Temperature (C),Relative Humidity (%),Barometric Pressure (mmHG),Rain Volume (mm),PM2.5 (ug/m3)
"2019,10,28,00,00,00",0,61.2,25,90,734,0,19
"2019,10,28,01,00,00",0,91.5,24.4,96,734,0,16
"2019,10,28,02,00,00",0,298.3,24.4,98,734,0,16
"2019,10,28,03,00,00",0,17.4,24.2,98,734,0,18
"2019,10,28,04,00,00",0,19.1,23.9,100,734,0,18
"2019,10,28,05,00,00",0,37.2,23.5,100,734,0,17
"2019,10,28,06,00,00",0,81.1,23.3,100,735,0,17
"2019,10,28,07,00,00",0,100.3,25.8,88,735,0,18
"2019,10,28,08,00,00",0,153.4,28.5,74,736,0,18
"2019,10,28,09,00,00",0,181.7,30.7,66,736,0,18
"2019,10,28,10,00,00",0,205.1,33,56,736,0,17
"2019,10,28,11,00,00",1,148.5,33.9,51,735,0,16
"2019,10,28,12,00,00",1,162.2,35.1,46,734,0,14
"2019,10,28,13,00,00",0,9.1,35.3,46,733,0,13
"2019,10,28,14,00,00",1,321.2,35,45,732,0,16
"2019,10,28,15,00,00",0,167.8,34.9,47,732,0,17
"2019,10,28,16,00,00",0,168.5,34.6,48,732,0,18
"2019,10,28,17,00,00",1,146.6,31.6,61,732,0,19
"2019,10,28,18,00,00",0,139.6,29.5,74,732,0,21
"2019,10,28,19,00,00",0,119.4,28.3,77,733,0,23
"2019,10,28,20,00,00",0,11.1,27.7,80,734,0,23
"2019,10,28,21,00,00",0,40.5,27,82,734,0,24
"2019,10,28,22,00,00",0,353.8,26.9,84,734,0,23
"2019,10,28,23,00,00",0,76.4,25.8,90,734,0,20
"2019,10,29,00,00,00",0,83.4,25.1,95,734,0,19
"2019,10,29,01,00,00",0,101.1,24.7,98,734,0,20
"2019,10,29,02,00,00",0,46.6,25,96,734,0,20
"2019,10,29,03,00,00",0,65.3,24.8,96,734,0,18
"2019,10,29,04,00,00",0,353.3,24.6,96,734,0,17
"2019,10,29,05,00,00",0,147.9,24.3,99,734,0,17
"2019,10,29,06,00,00",0,146.4,24.2,100,735,0,16
"2019,10,29,07,00,00",0,163.9,26.6,86,735,0,20
"2019,10,29,08,00,00",0,3.7,29,73,736,0,22
"2019,10,29,09,00,00",0,16.7,31.7,63,736,0,22
"2019,10,29,10,00,00",0,160.1,33.3,55,736,0,22
"2019,10,29,11,00,00",0,207.7,33.8,51,735,0,19
"2019,10,29,12,00,00",1,157.1,34.1,48,734,0,17
"2019,10,29,13,00,00",1,163.5,35.1,43,733,0,16
"2019,10,29,14,00,00",1,131.6,35.2,44,733,0,14
"2019,10,29,15,00,00",1,15.5,31.4,64,732,1.2,13
"2019,10,29,16,00,00",2,58.3,27.5,74,733,0,16
"2019,10,29,17,00,00",1,12.4,27.7,77,733,0,16
"2019,10,29,18,00,00",1,11.4,27.1,79,734,0,18
"2019,10,29,19,00,00",0,37.6,26.2,85,734,0,21
"2019,10,29,20,00,00",0,110.7,25.4,93,735,0,23
"2019,10,29,21,00,00",0,64.6,25,96,735,0,23
"2019,10,29,22,00,00",0,76,24.7,96,735,0,20
"2019,10,29,23,00,00",0,43.2,24.3,97,735,0,19
"2019,10,30,00,00,00",1,14.3,24.2,98,735,0,19
"2019,10,30,01,00,00",0,59.1,23.7,100,735,0,22
"2019,10,30,02,00,00",0,334.7,24.1,98,735,0,24
"2019,10,30,03,00,00",0,98.9,23.7,100,734,0,20
"2019,10,30,04,00,00",0,157.9,23.6,100,734,0,17
"2019,10,30,05,00,00",0,117.4,23.8,100,735,0,18
"2019,10,30,06,00,00",0,131,23.9,100,735,0,20
"2019,10,30,07,00,00",1,28.4,25.7,91,735,0,22
"2019,10,30,08,00,00",1,11.3,27.1,80,736,0,20
"2019,10,30,09,00,00",1,13.2,28.3,73,736,0,18
"2019,10,30,10,00,00",1,323.7,28.9,71,736,0,16
"2019,10,30,11,00,00",0,60.8,30.5,64,735,0,14
"2019,10,30,12,00,00",1,33.9,32.7,54,734,0,12
"2019,10,30,13,00,00",1,45.8,32.9,52,733,0,11
"2019,10,30,14,00,00",1,1.4,33.6,50,733,0,12
"2019,10,30,15,00,00",1,10.7,33.8,48,732,0,13
"2019,10,30,16,00,00",1,9.2,32.6,51,732,0,13
"2019,10,30,17,00,00",2,338.4,30.9,54,732,0,14
"2019,10,30,18,00,00",1,28.8,28.8,64,733,0,17
"2019,10,30,19,00,00",1,31.4,27,74,733,0,19
"2019,10,30,20,00,00",1,12.8,26.5,77,734,0,21
"2019,10,30,21,00,00",1,15.4,25.9,83,734,0,23
"2019,10,30,22,00,00",0,143.3,24.7,90,734,0,23
"2019,10,30,23,00,00",0,115.3,23.9,97,734,0,23
"2019,10,31,00,00,00",0,81.6,23.4,99,734,0,21
"2019,10,31,01,00,00",0,55.1,22.8,100,734,0,19
"2019,10,31,02,00,00",0,120.8,22.2,100,733,0,17
"2019,10,31,03,00,00",0,94.3,21.9,100,733,0,16
"2019,10,31,04,00,00",0,22.6,21.5,100,733,0,16
"2019,10,31,05,00,00",0,34.6,21.3,100,734,0,14
"2019,10,31,06,00,00",0,80.3,20.7,100,734,0,15
"2019,10,31,07,00,00",1,20.4,23.3,87,735,0,17
"2019,10,31,08,00,00",1,56,26.4,70,735,0,17
"2019,10,31,09,00,00",1,12.9,28.3,58,735,0,16
"2019,10,31,10,00,00",1,31.1,30.2,48,735,0,15
"2019,10,31,11,00,00",1,38.9,32.1,41,734,0,12
"2019,10,31,12,00,00",1,56.7,32.8,35,734,0,11
"2019,10,31,13,00,00",1,57.6,33.7,29,733,0,11
"2019,10,31,14,00,00",1,33.2,34.3,27,733,0,13
"2019,10,31,15,00,00",1,60.2,33.9,30,732,0,12
"2019,10,31,16,00,00",1,49.6,32.8,33,732,0,12
"2019,10,31,17,00,00",1,27.6,30,38,732,0,13
"2019,10,31,18,00,00",1,47.4,26.4,59,733,0,16
"2019,10,31,19,00,00",1,11.3,25.1,62,733,0,19
"2019,10,31,20,00,00",1,15,24.4,64,734,0,21
"2019,10,31,21,00,00",1,10.8,23.2,68,734,0,24
"2019,10,31,22,00,00",1,41.6,21.5,72,735,0,24
"2019,10,31,23,00,00",0,105.8,20.5,75,735,0,22
"2019,11,01,00,00,00",0,189.8,19.6,89,734,0,20
"2019,11,01,01,00,00",0,31.6,19,87,734,0,21
